timestamp,range,doppler,azimuth,elevation,power,x,y,z,comp_height,comp_velocity,u,v
1663831219.82984,39.5170884724836,-1.998,0.16362270833667,-0.182654093647769,6.33,38.3407,-7.17789,181.575,7.94789,-1.998,1165,465
1663831219.82984,41.5986285741682,-1.998,0.236506456814875,-0.173825417056465,9.6,39.8312,-7.19454,181.695,7.96454,-1.998,1173,465
1663831219.82984,19.4911616382118,0.9324,1.13549896790928,-0.084799986267413,17.61,8.1895,-1.65087,50.1552,2.42087,0.9324,1114,475
1663831219.82984,18.2690266041325,0.9324,0.968579245729124,-0.0999719798228929,14.98,10.2972,-1.82335,50.1995,2.59335,0.9324,1158,470
1663831219.82984,16.7290247785369,0.9324,0.92672902733851,-0.10052473978615,13.31,9.99428,-1.67885,50.7052,2.44885,0.9324,1150,474
1663831219.82984,13.7515157413647,0.9324,0.871672012312402,-0.111613498132532,10.46,8.79469,-1.53167,51.369,2.30167,0.9324,1123,478
1663831219.82984,15.8112601169799,0.9324,0.948948622273931,-0.0978281313722822,12.79,9.16662,-1.54432,51.7414,2.31432,0.9324,1129,478
1663831219.82984,14.8835206971336,1.0656,0.900378819542796,-0.0192743214123521,11.66,9.24561,-0.286852,52.1873,1.056852,1.0656,1129,503
1663831219.82984,11.8674685796687,1.0656,0.756760012419153,-0.0661875252975033,8.13,8.60952,-0.784905,52.7276,1.554905,1.0656,1115,494
1663831219.82984,13.8917855611446,1.0656,1.10634001284659,-0.056987881826432,12.4,6.21254,-0.791235,53.4972,1.561235,1.0656,1065,495
1663831219.82984,15.7337784483647,1.0656,1.16108112465786,-0.040030638635509,14.42,6.2625,-0.629665,53.9273,1.399665,1.0656,1065,498
1663831219.82984,14.2053076687402,1.0656,1.10984628658435,-0.0446927548380203,12.71,6.3122,-0.634663,54.3553,1.404663,1.0656,1065,498
1663831219.82984,42.8609526379442,-1.7316,2.94593111056224,0.141117839995114,8.25,-41.6252,6.02839,98.2382,-5.25839,-1.7316,504,587
1663831219.82984,44.0317036496432,-1.5984,2.85162705140057,0.137898952046897,12.47,-41.793,6.0527,98.6343,-5.2827,-1.5984,504,587
1663831219.82984,43.8453655401583,-1.5984,2.88142580970256,0.139048605498372,11.17,-41.9609,6.07701,99.0304,-5.30701,-1.5984,504,587
1663831219.82984,39.6496093089566,-1.998,0.195877826452849,-0.181609540149269,7.59,38.2518,-7.16123,181.154,7.93123,-1.998,1165,465
1663831219.82984,39.9328671815849,-1.998,0.219410593980773,-0.180731214526847,8.55,38.3407,-7.17789,181.575,7.94789,-1.998,1165,465
1663831219.82984,39.8619636734268,-1.998,0.199497913462844,-0.181480890935328,7.77,38.4297,-7.19454,181.997,7.96454,-1.998,1165,465
1663831219.82984,21.6465830183565,0.9324,1.14346472421479,-0.0843326204341679,19.63,8.93941,-1.82335,50.4589,2.59335,0.9324,1129,471
1663831219.82984,12.8636193989872,0.9324,0.946268709292809,-0.120343573750753,10.36,7.46714,-1.54432,52.0139,2.31432,0.9324,1093,479
1663831219.82984,13.7187354724734,1.0656,1.00696015844163,-0.174070822012938,11.42,7.22094,-2.37599,52.4527,3.14599,1.0656,1087,462
1663831219.82984,14.8754048360406,0.9324,1.02785363246211,-0.161728977370136,12.57,7.5852,-2.39531,52.8362,3.16531,0.9324,1093,462
1663831219.82984,13.5943908374925,0.9324,0.901149626793678,-0.128998765574376,10.57,8.36805,-1.7488,53.1798,2.5188,0.9324,1108,475
1663831219.82984,11.9900332759505,0.9324,1.05013358051978,-0.146376628376378,10.29,5.90072,-1.7488,53.5097,2.5188,0.9324,1058,476
1663831219.82984,13.9995485187809,1.0656,1.10453093281432,-0.102117101338177,12.44,6.26076,-1.42711,53.9123,2.19711,1.0656,1064,483
1663831219.82984,13.0786413678065,1.0656,1.06446446325486,-0.10044989958781,11.38,6.31081,-1.31154,54.3434,2.08154,1.0656,1064,485
1663831219.82984,41.9045334361331,-2.1312,0.25368271291478,-0.338503876826092,9.92,38.2615,-13.9155,181.2,14.6855,-2.1312,1164,426
1663831219.82984,41.8909787197673,-1.998,0.202236385964941,-0.364983253919744,7.86,38.3341,-14.9523,181.544,15.7223,-1.998,1164,420
1663831219.82984,17.9709236041,0.3996,0.453509726242792,-0.210307419544654,7.7,15.7984,-3.75162,25.9292,4.52162,0.3996,1588,346
1663831219.82984,20.3280484233386,0.3996,0.639668132760506,-0.188263370819646,11.92,16.0209,-3.80446,26.2944,4.57446,0.3996,1588,346
1663831219.82984,20.4154979253507,0.3996,0.626236500897137,-0.190082383570634,11.75,16.2435,-3.8573,26.6596,4.6273,0.3996,1588,346
1663831219.82984,16.463175649555,0.9324,0.829160821495823,-0.134333465065618,12.03,11.0206,-2.20491,35.312,2.97491,0.9324,1271,441
1663831219.82984,14.5971718349686,0.9324,0.836279053181246,-0.13137556597745,10.74,9.69914,-1.9122,36.1613,2.6822,0.9324,1225,452
1663831219.82984,13.5877008514649,0.9324,0.722149620687188,-0.142832273617787,8.89,10.0922,-1.93417,36.5003,2.70417,0.9324,1234,452
1663831219.82984,19.8857487526243,0.7992,0.590740360110773,-0.183467225233623,10.89,16.2385,-3.62795,36.9293,4.39795,0.7992,1407,399
1663831219.82984,17.2417305237177,0.7992,0.838091468624287,-0.21200129936902,12.53,11.2745,-3.62795,38.7343,4.39795,0.7992,1248,408
1663831219.82984,16.61834937115,0.7992,0.771415959100269,-0.22246241192231,11.3,11.6205,-3.66654,39.0799,4.43654,0.7992,1255,408
